character,dialogue,movie
"179 ""OWEN"" ""That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.""",,Episode IV
"180 ""LUKE"" ""But what if this Obi-Wan comes looking for him?""",,Episode IV
"181 ""OWEN"" ""He won't, I don't think he exists any more.  He died about the same time as your father.""",,Episode IV
"182 ""LUKE"" ""He knew my father?""",,Episode IV
"183 ""OWEN"" ""I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.""",,Episode IV
"184 ""LUKE"" ""Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.""",,Episode IV
"185 ""OWEN"" ""You mean the next semester before harvest?""",,Episode IV
"186 ""LUKE"" ""Sure, there're more than enough droids.""",,Episode IV
"187 ""OWEN"" ""Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.""",,Episode IV
"188 ""OWEN"" ""You must understand I need you here, Luke.""",,Episode IV
"189 ""LUKE"" ""But it's a whole 'nother year.""",,Episode IV
"190 ""OWEN"" ""Look, it's only one more season.""",,Episode IV
"191 ""LUKE"" ""Yeah, that's what you said last year when Biggs and Tank left.""",,Episode IV
"192 ""AUNT BERU"" ""Where are you going?""",,Episode IV
"193 ""LUKE"" ""It looks like I'm going nowhere.  I have to finish cleaning those droids.""",,Episode IV
"194 ""AUNT BERU"" ""Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him.""",,Episode IV
"195 ""OWEN"" ""I'll make it up to him next year.  I promise.""",,Episode IV
"196 ""AUNT BERU"" ""Luke's just not a farmer, Owen.  He has too much of his father in him.""",,Episode IV
"197 ""OWEN"" ""That's what I'm afraid of.""",,Episode IV
"198 ""LUKE"" ""What are you doing hiding there?""",,Episode IV
"199 ""THREEPIO"" ""It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.""",,Episode IV
"200 ""LUKE"" ""Oh, no!""",,Episode IV
"201 ""THREEPIO"" ""That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. """,,Episode IV
"202 ""LUKE"" ""How could I be so stupid?  He's nowhere in sight.  Blast it!""",,Episode IV
"203 ""THREEPIO"" ""Pardon me, sir, but couldn't we go after him?""",,Episode IV
"204 ""LUKE"" ""It's too dangerous with all the Sand People around.  We'll have to wait until morning.""",,Episode IV
"205 ""OWEN"" ""Luke, I'm shutting the power down for the night.""",,Episode IV
"206 ""LUKE"" ""All right, I'll be there in a few minutes.  Boy, am I gonna get it.""",,Episode IV
"207 ""LUKE"" ""You know that little droid is going to cause me a lot of trouble.""",,Episode IV
"208 ""THREEPIO"" ""Oh, he excels at that, sir.""",,Episode IV
"209 ""OWEN"" ""Luke?  Luke?  Luke?  Where could he be loafing now!""",,Episode IV
"210 ""OWEN"" ""Have you seen Luke this morning?""",,Episode IV
"211 ""AUNT BERU"" ""He said he had some things to do before he started today, so he left early.""",,Episode IV
"212 ""OWEN"" ""Uh?  Did he take those two new droids with him?""",,Episode IV
"213 ""AUNT BERU"" ""I think so.""",,Episode IV
"214 ""OWEN"" ""Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!""",,Episode IV
"215 ""LUKE"" ""How's that.""",,Episode IV
"216 ""LUKE"" ""Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well.""",,Episode IV
"217 ""THREEPIO"" ""Sir, would it help if you told him it was my fault.""",,Episode IV
"218 ""LUKE"" ""Sure.  He needs you.  He'd probably only deactivate you for a day or so...""",,Episode IV
"219 ""THREEPIO"" ""Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt...""",,Episode IV
"220 ""LUKE"" ""Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator.""",,Episode IV
"221 ""LUKE"" ""Hey, whoa, just where do you think you're going?""",,Episode IV
"222 ""THREEPIO"" ""Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here.""",,Episode IV
"223 ""LUKE"" ""Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up.""",,Episode IV
"224 ""THREEPIO"" ""If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.""",,Episode IV
"225 ""LUKE"" ""No, he's not going to try anything.""",,Episode IV
"226 ""LUKE"" ""What's wrong with him now?""",,Episode IV
"227 ""THREEPIO"" ""Oh my... sir, he says there are several creatures approaching from the southeast.""",,Episode IV
"228 ""LUKE"" ""Sand People!  Or worse!  Come on, let's have a look.  Come on.""",,Episode IV
"229 ""LUKE"" ""There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now.""",,Episode IV
"230 ""BEN"" ""Hello there!  Come here my little friend.  Don't be afraid.""",,Episode IV
"231 ""BEN"" ""Don't worry, he'll be all right.""",,Episode IV
"232 ""LUKE"" ""What happened?""",,Episode IV
"233 ""BEN"" ""Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece.""",,Episode IV
"234 ""LUKE"" ""Ben?  Ben Kenobi!  Boy, am I glad to see you! """,,Episode IV
"235 ""BEN"" ""The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?""",,Episode IV
"236 ""LUKE"" ""Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?""",,Episode IV
"237 ""BEN"" ""Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.""",,Episode IV
"238 ""LUKE"" ""I think my uncle knew him.  He said he was dead.""",,Episode IV
"239 ""BEN"" ""Oh, he's not dead, no... not yet.""",,Episode IV
"240 ""LUKE"" ""You know him!""",,Episode IV
